Variable,Definition,Key
survived,Survival,"0 = No, 1 = Yes"
pclass,Ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd"
sex,Gender
age,Age in years
sibsp,# of siblings / spouses aboard the Titanic,"Sibling = brother, sister Spouse = husband, wife"
parch,# of parents / children aboard the Titanic
fare,Passenger fare
cabin,Cabin number
embarked,Port of Embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton"
class,Class of tickets,"First, Second, Third class"
who,Identity,"man, woman, child"
adult_male,Is male adult or not,"Ture, False
embark_town,The town of embarkation,"Cherbourg, Queenstown, Southampton"
alive,same as the survived,"no, yes"

,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,sipsp
0,,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,-1.0
1,1.0,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,-1.0
2,1.0,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,
3,1.0,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,-1.0
4,,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
5,,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,
6,,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,
7,,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,
8,1.0,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,
9,1.0,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,-1.0
10,1.0,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,-1.0
11,1.0,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,
12,,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
13,,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,-1.0
14,,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,
15,1.0,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,
16,,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,
17,1.0,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,
18,,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,-1.0
19,1.0,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,
20,,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,
21,1.0,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,
22,1.0,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,
23,1.0,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,
24,,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,
25,1.0,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,-1.0
26,,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,
27,,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,
28,1.0,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,
29,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
30,,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,
31,1.0,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,-1.0
32,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
33,,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
34,,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,-1.0
35,,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,-1.0
36,1.0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,
37,,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
38,,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,
39,1.0,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,-1.0
40,,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,-1.0
41,,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,-1.0
42,,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,
43,1.0,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,-1.0
44,1.0,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,
45,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
46,,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,-1.0
47,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
48,,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,
49,,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,-1.0
50,,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,
51,,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,
52,1.0,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,-1.0
53,1.0,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
54,,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,
55,1.0,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,
56,1.0,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,
57,,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
58,1.0,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,-1.0
59,,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,
60,,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
61,1.0,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,
62,,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,-1.0
63,,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,
64,,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,
65,1.0,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,-1.0
66,1.0,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,
67,,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,
68,1.0,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,
69,,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,
70,,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
71,,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,
72,,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,
73,,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,-1.0
74,1.0,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,
75,,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,
76,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
77,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
78,1.0,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,
79,1.0,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,
80,,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,
81,1.0,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,
82,1.0,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,
83,,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,
84,1.0,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,
85,1.0,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,
86,,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,-1.0
87,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
88,1.0,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,
89,,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
90,,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
91,,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,
92,,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,-1.0
93,,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,-1.0
94,,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,
95,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
96,,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,
97,1.0,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,
98,1.0,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,
99,,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,-1.0
100,,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,
101,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
102,,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,
103,,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,
104,,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,
105,,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
106,1.0,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,
107,1.0,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,
108,,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
109,1.0,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,-1.0
110,,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,
111,,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,-1.0
112,,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
113,,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,-1.0
114,,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,
115,,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,
116,,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
117,,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,-1.0
118,,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,
119,,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,
120,,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,
121,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
122,,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,-1.0
123,1.0,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,
124,,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,
125,1.0,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,-1.0
126,,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
127,1.0,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,
128,1.0,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,-1.0
129,,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,
130,,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,
131,,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,
132,,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,-1.0
133,1.0,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
134,,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
135,,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,
136,1.0,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,
137,,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,-1.0
138,,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,
139,,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,
140,,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,
141,1.0,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,
142,1.0,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,-1.0
143,,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,
144,,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,
145,,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,-1.0
146,1.0,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,
147,,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,
148,,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,
149,,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
150,,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,
151,1.0,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,-1.0
152,,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,
153,,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,
154,,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,
155,,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,
156,1.0,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,
157,,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
158,,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,
159,,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,
160,,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,
161,1.0,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,
162,,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,
163,,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,
164,,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,
165,1.0,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,
166,1.0,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,
167,,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,-1.0
168,,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,
169,,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,
170,,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,
171,,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,
172,1.0,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,-1.0
173,,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,
174,,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,
175,,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,-1.0
176,,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,
177,,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,
178,,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
179,,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,
180,,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,
181,,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,
182,,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,
183,1.0,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,
184,1.0,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,
185,,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,
186,1.0,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,-1.0
187,1.0,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,
188,,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,-1.0
189,,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
190,1.0,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,
191,,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
192,1.0,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,-1.0
193,1.0,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,-1.0
194,1.0,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,
195,1.0,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,
196,,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
197,,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,
198,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
199,,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,
200,,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,
201,,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,
202,,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,
203,,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,
204,1.0,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,
205,,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,
206,,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,-1.0
207,1.0,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,
208,1.0,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
209,1.0,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,
210,,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,
211,1.0,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,
212,,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,
213,,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
214,,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,-1.0
215,1.0,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,-1.0
216,1.0,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,
217,,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,-1.0
218,1.0,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,
219,,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
220,1.0,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,
221,,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
222,,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
223,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
224,1.0,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,-1.0
225,,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,
226,1.0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,
227,,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,
228,,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
229,,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,
230,1.0,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,-1.0
231,,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,
232,,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,
233,1.0,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,
234,,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
235,,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True,
236,,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,-1.0
237,1.0,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,
238,,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
239,,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,
240,,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,-1.0
241,1.0,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,-1.0
242,,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
243,,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,
244,,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,
245,,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,
246,,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,
247,1.0,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,
248,1.0,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,-1.0
249,,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,-1.0
250,,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,
251,,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,-1.0
252,,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,
253,,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,-1.0
254,,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,
255,1.0,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,
256,1.0,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,
257,1.0,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,
258,1.0,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,
259,1.0,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,
260,,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
261,1.0,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,
262,,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,-1.0
263,,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,
264,,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,
265,,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
266,,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,
267,1.0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,-1.0
268,1.0,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,
269,1.0,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,
270,,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True,
271,1.0,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,
272,1.0,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,
273,,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,
274,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
275,1.0,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,-1.0
276,,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,
277,,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,
278,,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,
279,1.0,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,-1.0
280,,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
281,,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,
282,,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,
283,1.0,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,
284,,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True,
285,,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,
286,1.0,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,
287,,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
288,1.0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,
289,1.0,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
290,1.0,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,
