Variable,Definition,Key
291,1.0,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,-1.0
292,,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,
293,,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,
294,,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
295,,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,
296,,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
297,,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,-1.0
298,1.0,1,male,,0,0,30.5,S,First,man,True,C,Southampton,yes,True,
299,1.0,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,
300,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
301,1.0,3,male,,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False,
302,,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,
303,1.0,2,female,,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,
304,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
305,1.0,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,-1.0
306,1.0,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True,
307,1.0,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,-1.0
308,,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False,-1.0
309,1.0,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,
310,1.0,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,
311,1.0,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,
312,,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False,-1.0
313,,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
314,,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,-1.0
315,1.0,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True,
316,1.0,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
317,,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True,
318,1.0,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False,
319,1.0,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False,-1.0
320,,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,
321,,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
322,1.0,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True,
323,1.0,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False,-1.0
324,,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,
325,1.0,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True,
326,,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True,
327,1.0,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True,
328,1.0,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False,-1.0
329,1.0,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,
330,1.0,3,female,,2,0,23.25,Q,Third,woman,False,,Queenstown,yes,False,
331,,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True,
332,,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False,
333,,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False,
334,1.0,1,female,,1,0,133.65,S,First,woman,False,,Southampton,yes,False,-1.0
335,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
336,,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False,-1.0
337,1.0,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True,
338,1.0,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,
339,,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True,
340,1.0,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,-1.0
341,1.0,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,
342,,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
343,,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
344,,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
345,1.0,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True,
346,1.0,2,female,40.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,
347,1.0,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False,-1.0
348,1.0,3,male,3.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False,-1.0
349,,3,male,42.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,
350,,3,male,23.0,0,0,9.225,S,Third,man,True,,Southampton,no,True,
351,,1,male,,0,0,35.0,S,First,man,True,C,Southampton,no,True,
352,,3,male,15.0,1,1,7.2292,C,Third,child,False,,Cherbourg,no,False,-1.0
353,,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False,-1.0
354,,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,
355,,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,
356,1.0,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,
357,,2,female,38.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,
358,1.0,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,
359,1.0,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,
360,,3,male,40.0,1,4,27.9,S,Third,man,True,,Southampton,no,False,-1.0
361,,2,male,29.0,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False,-1.0
362,,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False,
363,,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,
364,,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,-1.0
365,,3,male,30.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,
366,1.0,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False,-1.0
367,1.0,3,female,,0,0,7.2292,C,Third,woman,False,,Cherbourg,yes,True,
368,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
369,1.0,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,
370,1.0,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False,-1.0
371,,3,male,18.0,1,0,6.4958,S,Third,man,True,,Southampton,no,False,-1.0
372,,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
373,,1,male,22.0,0,0,135.6333,C,First,man,True,,Cherbourg,no,True,
374,,3,female,3.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,
375,1.0,1,female,,1,0,82.1708,C,First,woman,False,,Cherbourg,yes,False,-1.0
376,1.0,3,female,22.0,0,0,7.25,S,Third,woman,False,,Southampton,yes,True,
377,,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False,
378,,3,male,20.0,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True,
379,,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,
380,1.0,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True,
381,1.0,3,female,1.0,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False,
382,,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,
383,1.0,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False,-1.0
384,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
385,,2,male,18.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,
386,,3,male,1.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,
387,1.0,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,
388,,3,male,,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True,
389,1.0,2,female,17.0,0,0,12.0,C,Second,woman,False,,Cherbourg,yes,True,
390,1.0,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False,-1.0
391,1.0,3,male,21.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,
392,,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,
393,1.0,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,-1.0
394,1.0,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False,
395,,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,
396,,3,female,31.0,0,0,7.8542,S,Third,woman,False,,Southampton,no,True,
397,,2,male,46.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,
398,,2,male,23.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
399,1.0,2,female,28.0,0,0,12.65,S,Second,woman,False,,Southampton,yes,True,
400,1.0,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,
401,,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
402,,3,female,21.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,-1.0
403,,3,male,28.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,-1.0
404,,3,female,20.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True,
405,,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,-1.0
406,,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True,
407,1.0,2,male,3.0,1,1,18.75,S,Second,child,False,,Southampton,yes,False,-1.0
408,,3,male,21.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,
409,,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,
410,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
411,,3,male,,0,0,6.8583,Q,Third,man,True,,Queenstown,no,True,
412,1.0,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False,-1.0
413,,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,
414,1.0,3,male,44.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,
415,,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True,
416,1.0,2,female,34.0,1,1,32.5,S,Second,woman,False,,Southampton,yes,False,-1.0
417,1.0,2,female,18.0,0,2,13.0,S,Second,woman,False,,Southampton,yes,False,
418,,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
419,,3,female,10.0,0,2,24.15,S,Third,child,False,,Southampton,no,False,
420,,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,
421,,3,male,21.0,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True,
422,,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True,
423,,3,female,28.0,1,1,14.4,S,Third,woman,False,,Southampton,no,False,-1.0
424,,3,male,18.0,1,1,20.2125,S,Third,man,True,,Southampton,no,False,-1.0
425,,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,
426,1.0,2,female,28.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
427,1.0,2,female,19.0,0,0,26.0,S,Second,woman,False,,Southampton,yes,True,
428,,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
429,1.0,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True,
430,1.0,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,
431,1.0,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False,-1.0
432,1.0,2,female,42.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
433,,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,
434,,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False,-1.0
435,1.0,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False,-1.0
436,,3,female,21.0,2,2,34.375,S,Third,woman,False,,Southampton,no,False,
437,1.0,2,female,24.0,2,3,18.75,S,Second,woman,False,,Southampton,yes,False,
438,,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False,-1.0
439,,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
440,1.0,2,female,45.0,1,1,26.25,S,Second,woman,False,,Southampton,yes,False,-1.0
441,,3,male,20.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,
442,,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False,-1.0
443,1.0,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,
444,1.0,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True,
445,1.0,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False,
446,1.0,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False,
447,1.0,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,
448,1.0,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,
449,1.0,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,
450,,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False,-1.0
451,,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False,-1.0
452,,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True,
453,1.0,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False,-1.0
454,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
455,1.0,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True,
456,,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True,
457,1.0,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False,-1.0
458,1.0,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,
459,,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
460,1.0,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True,
461,,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
462,,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True,
463,,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,
464,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
465,,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,
466,,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,
467,,1,male,56.0,0,0,26.55,S,First,man,True,,Southampton,no,True,
468,,3,male,,0,0,7.725,Q,Third,man,True,,Queenstown,no,True,
469,1.0,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,
470,,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,
471,,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,
472,1.0,2,female,33.0,1,2,27.75,S,Second,woman,False,,Southampton,yes,False,-1.0
473,1.0,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True,
474,,3,female,22.0,0,0,9.8375,S,Third,woman,False,,Southampton,no,True,
475,,1,male,,0,0,52.0,S,First,man,True,A,Southampton,no,True,
476,,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,-1.0
477,,3,male,29.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False,-1.0
478,,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True,
479,1.0,3,female,2.0,0,1,12.2875,S,Third,child,False,,Southampton,yes,False,
480,,3,male,9.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,
481,,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,
482,,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
483,1.0,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True,
484,1.0,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False,-1.0
485,,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,
486,1.0,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False,-1.0
487,,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True,
488,,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
489,1.0,3,male,9.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False,-1.0
490,,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False,-1.0
491,,3,male,21.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,
492,,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True,
493,,1,male,71.0,0,0,49.5042,C,First,man,True,,Cherbourg,no,True,
494,,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
495,,3,male,,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True,
496,1.0,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,-1.0
497,,3,male,,0,0,15.1,S,Third,man,True,,Southampton,no,True,
498,,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False,-1.0
499,,3,male,24.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,
500,,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,
501,,3,female,21.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,
502,,3,female,,0,0,7.6292,Q,Third,woman,False,,Queenstown,no,True,
503,,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True,
504,1.0,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,
505,,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False,-1.0
506,1.0,2,female,33.0,0,2,26.0,S,Second,woman,False,,Southampton,yes,False,
507,1.0,1,male,,0,0,26.55,S,First,man,True,,Southampton,yes,True,
508,,3,male,28.0,0,0,22.525,S,Third,man,True,,Southampton,no,True,
509,1.0,3,male,26.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,
510,1.0,3,male,29.0,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True,
511,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
512,1.0,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,
513,1.0,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False,-1.0
514,,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True,
515,,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True,
516,1.0,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,
517,,3,male,,0,0,24.15,Q,Third,man,True,,Queenstown,no,True,
518,1.0,2,female,36.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
519,,3,male,32.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
520,1.0,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True,
521,,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
522,,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,
523,1.0,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,
524,,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
525,,3,male,40.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
526,1.0,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,
527,,1,male,,0,0,221.7792,S,First,man,True,C,Southampton,no,True,
528,,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,
529,,2,male,23.0,2,1,11.5,S,Second,man,True,,Southampton,no,False,
530,1.0,2,female,2.0,1,1,26.0,S,Second,child,False,,Southampton,yes,False,-1.0
531,,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
532,,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False,-1.0
533,1.0,3,female,,0,2,22.3583,C,Third,woman,False,,Cherbourg,yes,False,
534,,3,female,30.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True,
535,1.0,2,female,7.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,
536,,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True,
537,1.0,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True,
538,,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True,
539,1.0,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False,
540,1.0,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False,
541,,3,female,9.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,
542,,3,female,11.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,
543,1.0,2,male,32.0,1,0,26.0,S,Second,man,True,,Southampton,yes,False,-1.0
544,,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False,-1.0
545,,1,male,64.0,0,0,26.0,S,First,man,True,,Southampton,no,True,
546,1.0,2,female,19.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
547,1.0,2,male,,0,0,13.8625,C,Second,man,True,,Cherbourg,yes,True,
548,,3,male,33.0,1,1,20.525,S,Third,man,True,,Southampton,no,False,-1.0
549,1.0,2,male,8.0,1,1,36.75,S,Second,child,False,,Southampton,yes,False,-1.0
550,1.0,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False,
551,,2,male,27.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,
552,,3,male,,0,0,7.8292,Q,Third,man,True,,Queenstown,no,True,
553,1.0,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True,
554,1.0,3,female,22.0,0,0,7.775,S,Third,woman,False,,Southampton,yes,True,
555,,1,male,62.0,0,0,26.55,S,First,man,True,,Southampton,no,True,
556,1.0,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False,-1.0
557,,1,male,,0,0,227.525,C,First,man,True,,Cherbourg,no,True,
558,1.0,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False,-1.0
559,1.0,3,female,36.0,1,0,17.4,S,Third,woman,False,,Southampton,yes,False,-1.0
560,,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,
561,,3,male,40.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
562,,2,male,28.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,
563,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
564,,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True,
565,,3,male,24.0,2,0,24.15,S,Third,man,True,,Southampton,no,False,
566,,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
567,,3,female,29.0,0,4,21.075,S,Third,woman,False,,Southampton,no,False,
568,,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
569,1.0,3,male,32.0,0,0,7.8542,S,Third,man,True,,Southampton,yes,True,
570,1.0,2,male,62.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,
571,1.0,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False,
572,1.0,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True,
573,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
574,,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
575,,3,male,19.0,0,0,14.5,S,Third,man,True,,Southampton,no,True,
576,1.0,2,female,34.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,
577,1.0,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False,-1.0
578,,3,female,,1,0,14.4583,C,Third,woman,False,,Cherbourg,no,False,-1.0
579,1.0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,
580,1.0,2,female,25.0,1,1,30.0,S,Second,woman,False,,Southampton,yes,False,-1.0
581,1.0,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False,-1.0
582,,2,male,54.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,
583,,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True,
584,,3,male,,0,0,8.7125,C,Third,man,True,,Cherbourg,no,True,
585,1.0,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False,
586,,2,male,47.0,0,0,15.0,S,Second,man,True,,Southampton,no,True,
587,1.0,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False,-1.0
588,,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
